NAME,median_income,total_pop,total_households,households_no_vehicle,total_pop_race,white_alone,state,county,tract,county_name,pct_no_vehicle,pct_nonwhite,GEOID
Census Tract 4001; Alameda County; California,234236.0,3269,1377,95,3269,2385,06,001,400100,001,6.899055918663762,27.041908840624046,06001400100
Census Tract 4002; Alameda County; California,225500.0,2147,876,83,2147,1535,06,001,400200,001,9.474885844748858,28.504890544946438,06001400200
Census Tract 4003; Alameda County; California,164000.0,5619,2638,367,5619,3403,06,001,400300,001,13.912054586808187,39.43762235273181,06001400300
Census Tract 4004; Alameda County; California,158836.0,4278,1760,249,4278,2832,06,001,400400,001,14.147727272727273,33.80084151472651,06001400400
Census Tract 4005; Alameda County; California,95078.0,3949,1679,143,3949,1778,06,001,400500,001,8.51697438951757,54.97594327677893,06001400500
Census Tract 4006; Alameda County; California,155893.0,2058,768,72,2058,939,06,001,400600,001,9.375,54.3731778425656,06001400600
Census Tract 4007; Alameda County; California,110556.0,4758,2012,279,4758,2420,06,001,400700,001,13.866799204771372,49.13829340058848,06001400700
Census Tract 4008; Alameda County; California,97132.0,4335,1885,189,4335,2241,06,001,400800,001,10.026525198938991,48.30449826989619,06001400800
Census Tract 4009; Alameda County; California,114583.0,2844,1113,50,2844,1104,06,001,400900,001,4.492362982929021,61.18143459915611,06001400900
Census Tract 4010; Alameda County; California,153654.0,6277,2302,356,6277,2436,06,001,401000,001,15.464813205907907,61.19165206308747,06001401000
Census Tract 4011; Alameda County; California,93121.0,5537,2649,410,5537,2436,06,001,401100,001,15.477538693846734,56.00505689001264,06001401100
Census Tract 4012; Alameda County; California,115045.0,2994,1429,163,2994,1864,06,001,401200,001,11.406578026592022,37.74215096860388,06001401200
Census Tract 4013; Alameda County; California,104226.0,4608,2401,749,4608,1781,06,001,401300,001,31.195335276967928,61.349826388888886,06001401300
Census Tract 4014; Alameda County; California,95011.0,5392,1741,286,5392,1622,06,001,401400,001,16.42734060884549,69.91839762611276,06001401400
Census Tract 4015; Alameda County; California,75568.0,3035,1203,349,3035,688,06,001,401500,001,29.010806317539483,77.33113673805602,06001401500
Census Tract 4016; Alameda County; California,88304.0,2403,909,100,2403,692,06,001,401600,001,11.001100110011002,71.2026633374948,06001401600
Census Tract 4017; Alameda County; California,145833.0,3276,1406,60,3276,1598,06,001,401700,001,4.267425320056899,51.22100122100122,06001401700
Census Tract 4018; Alameda County; California,72401.0,1709,693,192,1709,426,06,001,401800,001,27.705627705627705,75.07314218841428,06001401800
Census Tract 4022; Alameda County; California,96200.0,2337,924,172,2337,787,06,001,402200,001,18.614718614718615,66.32434745400086,06001402200
Census Tract 4024; Alameda County; California,31279.0,2623,1242,474,2623,392,06,001,402400,001,38.164251207729464,85.055280213496,06001402400
Census Tract 4025; Alameda County; California,34250.0,2010,773,280,2010,331,06,001,402500,001,36.222509702457955,83.53233830845771,06001402500
Census Tract 4026; Alameda County; California,45560.0,1300,615,187,1300,173,06,001,402600,001,30.40650406504065,86.6923076923077,06001402600
Census Tract 4027; Alameda County; California,115750.0,2039,735,190,2039,639,06,001,402700,001,25.850340136054424,68.66110838646395,06001402700
Census Tract 4028.01; Alameda County; California,74931.0,3254,1707,735,3254,921,06,001,402801,001,43.05799648506151,71.69637369391518,06001402801
Census Tract 4028.02; Alameda County; California,,1430,717,446,1430,337,06,001,402802,001,62.203626220362615,76.43356643356644,06001402802
Census Tract 4029; Alameda County; California,37973.0,1828,1236,727,1828,440,06,001,402900,001,58.81877022653722,75.92997811816193,06001402900
Census Tract 4030; Alameda County; California,32077.0,2897,1566,868,2897,274,06,001,403000,001,55.427841634738186,90.54193993786676,06001403000
Census Tract 4031; Alameda County; California,136071.0,1941,960,353,1941,818,06,001,403100,001,36.770833333333336,57.856774858320456,06001403100
Census Tract 4033.01; Alameda County; California,34417.0,1830,771,284,1830,223,06,001,403301,001,36.835278858625166,87.81420765027322,06001403301
Census Tract 4033.02; Alameda County; California,148235.0,2556,1416,231,2556,1335,06,001,403302,001,16.3135593220339,47.76995305164319,06001403302
Census Tract 4034.01; Alameda County; California,69984.0,2717,1985,774,2717,1253,06,001,403401,001,38.99244332493703,53.88295914611704,06001403401
Census Tract 4034.02; Alameda County; California,89021.0,1134,735,282,1134,598,06,001,403402,001,38.36734693877551,47.266313932980594,06001403402
Census Tract 4035.01; Alameda County; California,104167.0,4904,2714,749,4904,1934,06,001,403501,001,27.59764185703758,60.56280587275693,06001403501
Census Tract 4035.02; Alameda County; California,108478.0,1919,1118,181,1919,1081,06,001,403502,001,16.189624329159212,43.668577384054196,06001403502
Census Tract 4036; Alameda County; California,99925.0,5056,2833,346,5056,2148,06,001,403600,001,12.213201553123897,57.51582278481012,06001403600
Census Tract 4037.01; Alameda County; California,84063.0,2909,1752,453,2909,1341,06,001,403701,001,25.85616438356164,53.901684427638365,06001403701
Census Tract 4037.02; Alameda County; California,115156.0,2238,1202,204,2238,1252,06,001,403702,001,16.97171381031614,44.05719392314567,06001403702
Census Tract 4038; Alameda County; California,154524.0,4008,1934,196,4008,2521,06,001,403800,001,10.13443640124095,37.100798403193615,06001403800
Census Tract 4039; Alameda County; California,126075.0,3883,2157,196,3883,2559,06,001,403900,001,9.086694483078348,34.097347411795006,06001403900
Census Tract 4040; Alameda County; California,98214.0,3145,1814,194,3145,1853,06,001,404000,001,10.694597574421168,41.08108108108108,06001404000
Census Tract 4041.01; Alameda County; California,128711.0,3208,1767,249,3208,2376,06,001,404101,001,14.091680814940577,25.935162094763093,06001404101
Census Tract 4041.02; Alameda County; California,98472.0,2701,1628,480,2701,1483,06,001,404102,001,29.484029484029485,45.09440947797112,06001404102
Census Tract 4042; Alameda County; California,247619.0,3894,1460,26,3894,2739,06,001,404200,001,1.7808219178082192,29.66101694915254,06001404200
Census Tract 4043; Alameda County; California,227237.0,3587,1424,43,3587,2747,06,001,404300,001,3.019662921348315,23.417897964873152,06001404300
Census Tract 4044; Alameda County; California,184737.0,5823,2450,72,5823,3452,06,001,404400,001,2.9387755102040813,40.71784303623562,06001404400
Census Tract 4045.01; Alameda County; California,232112.0,1820,685,23,1820,1256,06,001,404501,001,3.3576642335766427,30.98901098901099,06001404501
Census Tract 4045.02; Alameda County; California,227361.0,6110,2582,32,6110,4081,06,001,404502,001,1.2393493415956625,33.20785597381342,06001404502
Census Tract 4046; Alameda County; California,222617.0,4934,1935,72,4934,2981,06,001,404600,001,3.7209302325581395,39.58248885285772,06001404600
Census Tract 4047; Alameda County; California,250001.0,2187,849,0,2187,1555,06,001,404700,001,0.0,28.89803383630544,06001404700
Census Tract 4048; Alameda County; California,114083.0,2744,1145,255,2744,1606,06,001,404800,001,22.270742358078603,41.47230320699708,06001404800
Census Tract 4049; Alameda County; California,151860.0,4669,2041,187,4669,2816,06,001,404900,001,9.16217540421362,39.68729920753909,06001404900
Census Tract 4050; Alameda County; California,152857.0,3665,1580,79,3665,2126,06,001,405000,001,5.0,41.99181446111869,06001405000
Census Tract 4051; Alameda County; California,250001.0,4508,1702,17,4508,3015,06,001,405100,001,0.9988249118683901,33.118899733806565,06001405100
