station_name,station_id,agency,city,county,latitude,longitude,station_type,total_amenities,diversity_score,nearest_amenity_m,grocery,park,clinic,pharmacy,hospital,doctors,childcare,kindergartens,convenience,median_income,total_pop,total_households,households_no_vehicle,pct_no_vehicle,pct_nonwhite,GEOID,amenities_per_1000,healthcare_total,equity_flag,disadvantage_score,access_score,equity_concern
Civic Center/UN Plaza,CIVC,BART,San Francisco,sanfrancisco,37.779732,-122.414123,core,68,4,148.53268722924292,2,11,7,1,0,3,1,2,41,33750.0,1763,1091,896,82.12648945921174,40.83947816222348,6075012203,38.57061826432218,7,False,1.7914075106405403,3.7530480414564655,False
Powell St.,POWL,BART,San Francisco,sanfrancisco,37.784471,-122.407974,core,66,4,230.4339809040018,2,8,3,2,0,4,1,0,46,209803.0,3273,1309,142,10.847975553857909,41.27711579590589,6075015702,20.164986251145734,3,False,-0.5196022929887328,3.6088711899705874,False
12th St. Oakland City Center,12TH,BART,Oakland,alameda,37.803768,-122.27145,core,53,4,59.612750814182206,5,10,7,5,0,4,2,1,19,236158.0,4021,2145,278,12.96037296037296,19.7712011937329,6075012700,13.180800795821936,7,False,-0.9718894078018071,2.6717216553123806,False
24th St. Mission,24TH,BART,San Francisco,sanfrancisco,37.75247,-122.418143,core,50,4,44.37605173090225,11,7,4,1,2,2,0,2,21,213607.0,2107,1164,198,17.010309278350515,18.41480778357855,6075013402,23.730422401518748,6,False,-0.792656530487703,2.455456378083564,False
Montgomery St.,MONT,BART,San Francisco,sanfrancisco,37.789405,-122.401066,core,49,4,35.81222443136631,4,14,8,5,0,2,1,1,14,209803.0,3273,1309,142,10.847975553857909,41.27711579590589,6075015702,14.970974641002138,8,False,-0.5196022929887328,2.383367952340625,False
16th St. Mission,16TH,BART,San Francisco,sanfrancisco,37.765062,-122.419694,core,45,3,42.76467919210357,7,7,6,0,1,0,0,2,22,,0,0,0,,,6075990100,,7,False,-0.09971848670901091,2.095014249368869,False
19th St. Oakland,19TH,BART,Oakland,alameda,37.80835,-122.268602,core,39,4,37.40029849997021,1,9,6,2,0,2,3,0,16,236158.0,4021,2145,278,12.96037296037296,19.7712011937329,6075012700,9.69907983088784,6,False,-0.9718894078018071,1.662483694911235,False
Lake Merritt,LAKE,BART,Oakland,alameda,37.797027,-122.26518,core,38,4,38.2391360831304,6,5,6,3,0,3,3,1,11,236158.0,4021,2145,278,12.96037296037296,19.7712011937329,6075012700,9.45038547624969,6,False,-0.9718894078018071,1.5903952691682959,False
Embarcadero,EMBR,BART,San Francisco,sanfrancisco,37.792874,-122.39702,core,37,4,95.03124674359546,2,16,9,3,0,1,0,0,6,209803.0,3273,1309,142,10.847975553857909,41.27711579590589,6075015702,11.304613504430186,9,False,-0.5196022929887328,1.5183068434253568,False
Palo Alto,palo_alto,Caltrain,,,37.44322,-122.16429,core,27,4,196.52093748725153,3,9,5,3,0,5,0,1,1,,0,0,0,,,6081990100,,5,False,-0.09971848670901091,0.797422585995967,False
Downtown Berkeley,DBRK,BART,Berkeley,alameda,37.870104,-122.268133,core,26,4,81.85560564033642,1,2,4,2,0,2,0,4,11,147944.0,4128,1434,149,10.390516039051604,74.27325581395348,6075025900,6.2984496124031,4,False,0.34528867610783104,0.7253341602530281,False
Ashby,ASHB,BART,Berkeley,alameda,37.852803,-122.270062,core,25,4,63.47602979259588,1,5,2,1,0,1,1,4,10,147944.0,4128,1434,149,10.390516039051604,74.27325581395348,6075025900,6.056201550387597,2,False,0.34528867610783104,0.653245734510089,False
San Francisco Caltrain Station,san_francisco,Caltrain,,,37.776404,-122.394911,core,25,4,84.7199475838142,3,9,5,1,0,2,2,0,3,33750.0,1763,1091,896,82.12648945921174,40.83947816222348,6075012203,14.180374361883157,5,False,1.7914075106405403,0.653245734510089,False
Millbrae,MLBR,BART,Millbrae,sanmateo,37.600271,-122.386702,core,23,4,151.3266901175968,5,4,3,2,0,0,0,0,9,184107.0,3623,1349,9,0.6671608598962194,36.01987303339774,6081605200,6.3483301131658845,3,False,-0.6542909282287441,0.509068883024211,False
