station_name,agency,latitude,longitude,GEOID,total_amenities,grocery,park,clinic,pharmacy,hospital,doctors,childcare,median_income,pct_no_vehicle,pct_nonwhite,total_pop,station_type
12th St. Oakland City Center,BART,37.803768,-122.27145,6001403000,53,5,10,7,5,0,4,2,32077.0,55.427841634738186,90.54193993786676,2897,core
16th St. Mission,BART,37.765062,-122.419694,6075020102,45,7,7,6,0,1,0,0,116076.0,57.76173285198555,62.32628398791541,3310,core
19th St. Oakland,BART,37.80835,-122.268602,6001402900,39,1,9,6,2,0,2,3,37973.0,58.81877022653722,75.92997811816193,1828,core
24th St. Mission,BART,37.75247,-122.418143,6075020900,50,11,7,4,1,2,2,0,117813.0,38.875739644970416,56.36896046852124,4098,core
Antioch,BART,37.995388,-121.78042,6013308002,5,1,3,0,0,0,0,0,123882.0,4.463690872751499,68.16763263486402,4486,peripheral
Ashby,BART,37.852803,-122.270062,6001423901,25,1,5,2,1,0,1,1,105625.0,14.90104772991851,42.20549158547387,2258,core
Balboa Park,BART,37.721585,-122.447506,6075026100,10,2,2,1,0,0,0,0,116444.0,18.48906560636183,86.68411106265445,6879,core
Bay Fair,BART,37.696924,-122.126514,6001433802,5,2,1,0,0,0,0,0,100784.0,17.346938775510203,85.14299000232504,4301,core
Berryessa/North San Jose,BART,37.368473,-121.874681,6085504319,11,2,2,1,2,0,0,0,175625.0,2.0350212967345005,90.04464285714285,6720,peripheral
Castro Valley,BART,37.690746,-122.075602,6001431200,10,5,1,0,2,0,0,0,106250.0,9.74817221770918,59.77834612105711,5865,core
Civic Center/UN Plaza,BART,37.779732,-122.414123,6075012405,68,2,11,7,1,0,3,1,102358.0,69.73058637083994,64.98342259627647,3921,core
Coliseum,BART,37.753661,-122.196869,6001408800,3,0,2,0,0,0,0,0,44100.0,26.463104325699742,92.9593373493976,7968,core
Colma,BART,37.684638,-122.466233,6081601302,8,0,1,0,1,0,0,0,91397.0,10.526315789473683,91.47738693467336,4975,core
Concord,BART,37.973737,-122.029095,6013335000,13,3,3,1,1,0,0,0,150398.0,1.380500431406385,48.28349944629014,3612,peripheral
Daly City,BART,37.706121,-122.469081,6081600701,6,1,3,0,0,1,0,0,70290.0,14.22829581993569,86.71270718232044,3620,core
Downtown Berkeley,BART,37.870104,-122.268133,6001422902,26,1,2,4,2,0,2,0,,50.69393718042367,65.8504301786896,3022,core
Dublin/Pleasanton,BART,37.701687,-121.899179,6001450743,17,1,14,1,0,0,0,0,155274.0,3.919491525423729,77.60591795561534,7435,peripheral
El Cerrito del Norte,BART,37.925086,-122.316794,6013386000,8,1,6,0,1,0,0,0,64201.0,17.2615184944841,65.72645023948908,3758,core
El Cerrito Plaza,BART,37.902632,-122.298904,6013389100,18,3,9,1,1,0,1,0,108333.0,16.54275092936803,63.747454175152754,2455,core
Embarcadero,BART,37.792874,-122.39702,6075011700,37,2,16,9,3,0,1,0,93500.0,74.82638888888889,62.40272373540856,2056,core
Fremont,BART,37.557465,-121.976608,6001441924,15,2,1,1,3,3,2,0,177589.0,2.7143981117230527,82.80316710654257,7199,peripheral
Fruitvale,BART,37.774836,-122.224175,6001406100,21,4,4,6,0,0,0,0,64879.0,11.988950276243092,73.4764122291962,4939,core
Glen Park,BART,37.733064,-122.433817,6075031100,13,3,6,1,1,0,0,0,188591.0,8.798999165971642,58.304167992363986,6286,core
Hayward,BART,37.669723,-122.087018,6001436302,10,1,4,0,1,0,0,0,90833.0,9.662576687116564,73.85554425228891,3932,core
Lafayette,BART,37.893176,-122.12463,6013348000,11,4,4,1,0,0,0,0,250001.0,2.018229166666667,18.77982984021581,4819,core
Lake Merritt,BART,37.797027,-122.26518,6001403302,38,6,5,6,3,0,3,3,148235.0,16.3135593220339,47.76995305164319,2556,core
MacArthur,BART,37.829065,-122.26704,6001401100,10,0,3,0,0,0,0,0,93121.0,15.477538693846734,56.00505689001264,5537,core
Millbrae,BART,37.600271,-122.386702,6081604400,23,5,4,3,2,0,0,0,121471.0,4.188759278897137,66.52239367707942,5314,core
Milpitas,BART,37.410277,-121.891081,6085504509,8,1,3,0,0,0,1,0,184063.0,4.10958904109589,95.9282700421941,4740,peripheral
Montgomery St.,BART,37.789405,-122.401066,6075061501,49,4,14,8,5,0,2,1,239147.0,30.344202898550726,51.50966183574879,1656,core
North Berkeley,BART,37.873967,-122.28344,6001422200,21,0,11,1,0,0,0,0,105750.0,11.3061797752809,36.0670731707317,3280,core
North Concord/Martinez,BART,38.003193,-122.024653,6013355202,1,0,1,0,0,0,0,0,126537.0,3.2955715756951593,77.09118311981914,3981,peripheral
Oakland International Airport,BART,37.713238,-122.212191,6001409000,2,0,0,0,0,0,0,0,70769.0,6.297709923664121,94.82040087318912,5039,core
Orinda,BART,37.878361,-122.183791,6013354001,7,0,1,0,1,1,1,0,216518.0,0.0,27.003338898163605,2396,core
Pittsburg/Bay Point,BART,38.018914,-121.945154,6013355201,8,1,4,0,1,0,0,1,140337.0,6.538307260328921,87.86048804535372,8114,peripheral
Pittsburg Center,BART,38.016941,-121.889457,6013313104,3,1,1,0,0,0,0,0,55476.0,14.646464646464649,60.36438638707459,2909,peripheral
Pleasant Hill/Contra Costa Centre,BART,37.928468,-122.056012,6013324003,7,2,2,0,0,1,0,0,110288.0,2.148846960167715,44.041751232241225,3449,core
Powell St.,BART,37.784471,-122.407974,6075012503,66,2,8,3,2,0,4,1,39133.0,75.40385617509119,78.86904761904762,4368,core
Richmond,BART,37.936853,-122.353099,6013375000,8,3,1,1,2,1,0,0,74306.0,11.769059955588451,87.21305255169797,5271,core
Rockridge,BART,37.844702,-122.251371,6001400300,10,2,4,0,0,0,0,1,164000.0,13.912054586808187,39.43762235273181,5619,core
San Bruno,BART,37.637761,-122.416287,6081604102,7,1,5,0,0,0,0,0,113750.0,15.071919949968732,68.07838179519595,3164,core
San Francisco International Airport,BART,37.615966,-122.392409,6081984300,12,0,1,1,0,0,0,0,,,,0,core
San Leandro,BART,37.721947,-122.160844,6001432601,11,2,3,0,2,0,1,0,91767.0,14.20486700622524,73.60703812316716,4092,core
South Hayward,BART,37.634375,-122.057189,6001435104,2,0,2,0,0,0,0,0,112692.0,4.409385113268608,82.68669778296382,6856,core
South San Francisco,BART,37.664245,-122.44396,6081601902,6,2,1,0,1,1,0,0,125585.0,3.0303030303030303,66.47245762711864,5664,core
Union City,BART,37.59063,-122.017388,6001440338,10,5,2,0,0,0,1,0,144850.0,5.371152685576343,75.50671550671551,4095,core
Walnut Creek,BART,37.905522,-122.067527,6013339004,5,0,2,0,0,0,1,1,137016.0,7.158962795941376,42.18137993371497,3319,peripheral
Warm Springs/South Fremont,BART,37.502171,-121.939313,6001441525,0,0,0,0,0,0,0,0,186354.0,10.732538330494036,93.13786650031192,1603,peripheral
West Dublin/Pleasanton,BART,37.699756,-121.92824,6001450609,7,1,2,0,1,0,1,0,152857.0,3.340292275574112,47.52435064935065,4928,peripheral
West Oakland,BART,37.804872,-122.29514,6001402200,16,0,8,2,0,0,0,0,96200.0,18.614718614718615,66.32434745400086,2337,core
22nd Street,Caltrain,37.756972,-122.392492,6075061402,22,0,10,1,1,0,1,0,174675.0,7.824591573516767,47.19004719004719,2331,core
Bayshore,Caltrain,37.70766,-122.401665,6081600100,4,1,1,0,0,0,0,0,148724.0,1.4832535885167464,53.7584541062802,5175,core
Belmont,Caltrain,37.52133,-122.2763,6081608600,11,2,5,0,0,0,1,0,138967.0,12.904858299595142,50.3479773814702,4598,core
Blossom Hill Caltrain Station,Caltrain,37.252606,-121.797907,6085512058,5,1,1,1,0,0,0,0,113893.0,3.54824751189961,68.44113372093024,5504,core
Broadway,Caltrain,37.58726,-122.362,6081605100,7,1,2,0,1,0,0,0,138667.0,7.154882154882154,43.79911171848308,2927,core
Burlingame,Caltrain,37.57985,-122.34418,6081605400,11,2,5,2,1,0,0,0,167067.0,4.394387001477105,40.86892488954344,6790,core
California Avenue,Caltrain,37.428834,-122.14113,6085511400,11,3,3,3,0,0,0,0,250001.0,0.7363770250368188,43.77867746288799,3705,core
Capitol Caltrain Station,Caltrain,37.284016,-121.841899,6085503127,10,1,3,0,0,0,0,0,159375.0,4.103566194430874,63.75185263603642,4723,core
College Park,Caltrain,37.34289,-121.91565,6085500300,12,2,2,3,0,0,2,1,116172.0,3.0339083878643662,51.66025024061598,4156,core
Gilroy,Caltrain,37.004466,-121.566727,6085512603,16,2,2,0,2,0,3,1,90101.0,4.591368227731864,54.53293550608217,4357,core
Hayward Park,Caltrain,37.553161,-122.309494,6081607600,14,4,5,1,2,0,0,0,119357.0,7.288135593220339,53.56963298139769,3978,core
Hillsdale,Caltrain,37.542392678,-122.301612061,6081607500,9,0,7,1,0,0,0,0,202120.0,7.646356033452808,66.28580624396524,6214,core
Lawrence,Caltrain,37.3707,-121.9969,6085508708,9,2,4,0,0,0,1,0,245007.0,17.99910674408218,76.95749440715883,4917,core
Menlo Park,Caltrain,37.4548,-122.18245,6081612500,16,3,5,1,1,0,5,0,175865.0,11.147362697117998,43.45711759504863,4524,core
Millbrae,Caltrain,37.5999,-122.38675,6081604400,23,5,4,3,2,0,0,0,121471.0,4.188759278897137,66.52239367707942,5314,core
Morgan Hill,Caltrain,37.129644,-121.650558,6085512312,20,0,14,0,0,0,1,2,185375.0,0.0,42.799885485256226,3493,core
Mountain View,Caltrain,37.395067,-122.07722,6085509201,13,0,5,2,2,0,2,0,155404.0,9.244935543278086,51.91587952236678,5611,core
Palo Alto,Caltrain,37.44322,-122.16429,6085511302,27,3,9,5,3,0,5,0,100852.0,32.70538984824699,39.55568378534334,3466,core
Redwood City,Caltrain,37.485865,-122.2315,6081610202,21,4,5,3,2,1,1,0,173125.0,17.29559748427673,55.15915402691732,4681,core
San Antonio,Caltrain,37.407239431,-122.107115562,6085509404,20,5,12,1,1,0,0,0,165250.0,9.278350515463918,63.80445001566907,6382,core
San Bruno Caltrain Station,Caltrain,37.630460335,-122.411709042,6081604104,13,3,5,0,0,0,0,0,115781.0,4.279475982532751,69.80838943552563,3862,core
