Station Name,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,Average Weekday Exit
Richmond,2135,2207,2615,2456,2466,2286,2318,2430,2484,2582,2541,2445,2414
El Cerrito Del Norte,3421,3536,4023,4032,3743,3540,3675,3945,3941,4073,4037,3864,3819
El Cerrito Plaza,1886,1982,2195,2186,2004,1919,2019,2123,2094,2207,2181,2097,2074
North Berkeley,1501,1686,1836,1820,1671,1556,1683,1735,1794,1845,1883,1868,1740
Berkeley,5252,5357,6267,6172,5608,4674,4813,5875,5777,6161,5616,5473,5587
Ashby,1764,1875,2095,2077,1883,1614,1541,1673,2045,2090,2113,2129,1908
MacArthur,3418,3592,3957,3924,3644,3382,3658,3833,3886,3764,4072,4017,3762
19th Street Oakland,4078,4278,4851,4891,4491,4117,4412,4800,4739,4956,4937,4717,4606
12th Street / Oakland City Center,4870,4934,5366,5243,4585,4317,4962,5308,5403,5635,5652,5689,5164
Lake Merritt,2714,2902,3189,3063,2832,2532,2700,2949,2924,2889,2765,2805,2855
Fruitvale,3508,3883,4427,4330,4030,3817,3852,4070,4050,4155,3931,3928,3998
Coliseum,2807,2744,4418,2604,2774,2190,2396,2513,2433,2468,2247,2447,2670
San Leandro,3193,3310,3653,3560,3279,3132,3236,3374,3276,3558,3297,3456,3360
Bayfair,2377,2651,2799,2764,2584,2474,2539,2598,2649,2736,2638,2666,2623
Hayward,2034,2165,2560,2492,2305,2088,2233,2410,2373,2452,2198,2214,2294
South Hayward,1309,1319,1465,1482,1406,1309,1397,1471,1470,1531,1387,1481,1419
Union City,1810,1810,2024,2000,1834,1669,1768,1870,1826,1960,1794,1935,1858
Fremont,1956,1964,2245,2205,1998,1833,1924,2039,2030,2157,2009,2159,2043
Concord,2415,2562,2814,2805,2606,2412,2512,2651,2689,2838,2841,2774,2660
Pleasant Hill,2323,2441,2652,2654,2431,2287,2454,2543,2577,2705,2683,2682,2536
Walnut Creek,2789,2817,3008,3029,2769,2666,2759,2816,2900,3008,3020,3178,2897
Lafayette,1536,1551,1719,1706,1533,1483,1580,1608,1656,1752,1753,1809,1641
Orinda,1168,1197,1359,1320,1172,1176,1234,1248,1286,1368,1395,1389,1276
Rockridge,2380,2496,2725,2742,2516,2413,2514,2623,2692,2829,2855,2870,2638
West Oakland,3121,3388,3580,3606,3258,3228,3393,3503,3542,3695,3980,3829,3510
Embarcadero,16996,17192,18009,18268,16015,15419,16685,17522,18406,19354,19030,19997,17741
Montgomery Street,13431,13764,14737,14591,13280,12640,14129,14464,14993,15377,14986,15717,14342
Powell Street,10247,10784,11680,11429,10940,11251,10632,10526,10461,11222,11405,11442,11002
Civic Center,8248,8460,9744,9605,8693,8456,8847,9266,9467,9760,9827,9693,9172
16th Street Mission,5228,5462,5883,5848,5565,5253,5464,5659,5767,5754,5876,5948,5642
24th Street Mission,4987,5223,5821,5835,5325,5152,5311,5606,5593,5646,5741,5648,5491
Glen Park,2970,3143,3343,3353,2964,2918,3108,3205,3261,3309,3368,3287,3186
Balboa Park,3403,3904,4443,4396,4039,3771,3933,4202,4118,4145,4109,3763,4019
Daly City,3864,4414,5562,5534,4890,4571,4362,5237,5029,5365,5045,4489,4864
Colma,1427,1474,1542,1579,1487,1465,1494,1523,1580,1571,1566,1628,1528
Castro Valley,1151,1221,1332,1284,1191,1132,1147,1219,1245,1282,1221,1309,1228
Dublin/Pleasanton,2953,3032,3374,3157,2891,2701,2906,2957,3032,3238,3022,3426,3057
North Concord,571,606,674,662,618,569,609,632,656,683,680,683,637
Pittsburg/Bay Point,1980,2094,2292,2283,2162,2008,2070,2187,2261,2363,2345,2315,2197
South San Francisco,1271,1330,1430,1455,1365,1294,1345,1381,1408,1467,1223,1197,1347
San Bruno,1455,1465,1587,1567,1329,1130,1418,1479,1517,1568,1540,1562,1468
San Francisco International Airport,3809,3961,4129,4091,3911,3540,2827,3098,3613,3738,4183,4245,3762
Millbrae,1706,1727,1914,1876,1701,1641,1641,1727,1756,1872,1856,1862,1773
West Dublin/Pleasanton,1280,1293,1381,1348,1217,1171,1238,1242,1255,1311,1239,1380,1280
Oakland International Airport,652,660,689,639,653,540,386,467,535,534,563,532,571
Warm Springs,1145,1135,1246,1229,1148,1049,1140,1157,1145,1184,1118,1264,1163
Antioch,427,460,524,534,504,463,487,515,576,606,613,572,523
Pittsburg Center,1619,1657,1922,2031,1854,1702,1722,1825,1853,1929,1619,1844,1798
Milpitas,1309,1228,1359,1338,1272,1189,1141,1182,1053,1236,1175,1370,1238
Berryessa / North San José,1329,1429,1790,1740,1603,1326,1323,1568,1420,1536,1392,1429,1490
