station_name,agency,latitude,longitude,GEOID,total_amenities,grocery,park,clinic,pharmacy,hospital,doctors,childcare,median_income,pct_no_vehicle,pct_nonwhite,total_pop,station_type
12th St. Oakland City Center,BART,37.803768,-122.27145,06001403000,53,5,10,7,5,0,4,2,58794.0,58.51,86.89,3387,core
16th St. Mission,BART,37.765062,-122.419694,06075020102,45,7,7,6,0,1,0,0,100761.0,53.52,71.67,3463,core
19th St. Oakland,BART,37.80835,-122.268602,06001402900,39,1,9,6,2,0,2,3,66050.0,60.0,72.81,2431,core
24th St. Mission,BART,37.75247,-122.418143,06075020900,50,11,7,4,1,2,2,0,96250.0,32.98,67.38,3746,core
Antioch,BART,37.995388,-121.78042,06013308002,5,1,3,0,0,0,0,0,119896.0,1.64,76.76,5146,peripheral
Ashby,BART,37.852803,-122.270062,06001423901,25,1,5,2,1,0,1,1,136607.0,15.38,51.06,2227,core
Balboa Park,BART,37.721585,-122.447506,06075026100,10,2,2,1,0,0,0,0,122222.0,17.29,92.1,6811,core
Bay Fair,BART,37.696924,-122.126514,06001433802,5,2,1,0,0,0,0,0,90739.0,16.01,86.84,4079,core
Berryessa/North San Jose,BART,37.368473,-121.874681,06085504319,11,2,2,1,2,0,0,0,227279.0,6.67,88.24,5980,peripheral
Castro Valley,BART,37.690746,-122.075602,06001431200,10,5,1,0,2,0,0,0,122872.0,18.66,62.85,6033,core
Civic Center/UN Plaza,BART,37.779732,-122.414123,06075012405,68,2,11,7,1,0,3,1,113665.0,71.23,63.52,3764,core
Coliseum,BART,37.753661,-122.196869,06001408800,3,0,2,0,0,0,0,0,42759.0,29.45,89.88,7461,core
Colma,BART,37.684638,-122.466233,06081601302,8,0,1,0,1,0,0,0,98417.0,7.99,89.7,4581,core
Concord,BART,37.973737,-122.029095,06013335000,13,3,3,1,1,0,0,0,175208.0,0.86,49.97,3494,peripheral
Daly City,BART,37.706121,-122.469081,06081600701,6,1,3,0,0,1,0,0,93077.0,9.27,87.81,3135,core
Downtown Berkeley,BART,37.870104,-122.268133,06001422902,26,1,2,4,2,0,2,0,60078.0,53.66,70.23,2214,core
Dublin/Pleasanton,BART,37.701687,-121.899179,06001450743,17,1,14,1,0,0,0,0,169415.0,5.07,78.6,7616,peripheral
El Cerrito del Norte,BART,37.925086,-122.316794,06013386000,8,1,6,0,1,0,0,0,83162.0,16.05,69.23,3793,core
El Cerrito Plaza,BART,37.902632,-122.298904,06013389100,18,3,9,1,1,0,1,0,85045.0,16.7,67.66,2316,core
Embarcadero,BART,37.792874,-122.39702,06075011700,37,2,16,9,3,0,1,0,51464.0,76.11,54.96,1914,core
Fremont,BART,37.557465,-121.976608,06001441924,15,2,1,1,3,3,2,0,190826.0,3.37,82.55,7588,peripheral
Fruitvale,BART,37.774836,-122.224175,06001406100,21,4,4,6,0,0,0,0,73267.0,17.08,80.84,5810,core
Glen Park,BART,37.733064,-122.433817,06075031100,13,3,6,1,1,0,0,0,200545.0,10.79,58.22,6073,core
Hayward,BART,37.669723,-122.087018,06001436302,10,1,4,0,1,0,0,0,96233.0,2.22,76.97,3712,core
Lafayette,BART,37.893176,-122.12463,06013348000,11,4,4,1,0,0,0,0,250001.0,1.12,21.79,4888,core
Lake Merritt,BART,37.797027,-122.26518,06001403302,38,6,5,6,3,0,3,3,144813.0,12.28,61.94,2819,core
MacArthur,BART,37.829065,-122.26704,06001401100,10,0,3,0,0,0,0,0,96599.0,18.16,62.04,5722,core
Millbrae,BART,37.600271,-122.386702,06081604400,23,5,4,3,2,0,0,0,133654.0,6.82,73.18,5131,core
Milpitas,BART,37.410277,-121.891081,06085504509,8,1,3,0,0,0,1,0,181165.0,3.07,95.16,4921,peripheral
Montgomery St.,BART,37.789405,-122.401066,06075061501,49,4,14,8,5,0,2,1,229363.0,29.53,54.78,1862,core
