NAME,total_pop,median_age,total_pop_race,white_alone,black_alone,aian_alone,asian_alone,nhpi_alone,other_race_alone,two_or_more_races,median_household_income,per_capita_income,total_pop_poverty_calc,pop_below_poverty,total_housing_units,total_occupied_units,owner_occupied,renter_occupied,total_households,owner_occ_no_vehicle,renter_occ_no_vehicle,median_gross_rent,median_home_value,total_workers_16plus,drove_alone,public_transit_commuters,bicycle_commuters,walked_commuters,worked_from_home,aggregate_travel_time_mins,labor_force,employed,unemployed,pop_25plus,bachelors_degree,masters_degree,professional_degree,doctorate_degree,foreign_born,total_pop_nativity,state,county,tract,GEOID,county_name,households_no_vehicle,pct_no_vehicle,pop_nonwhite,pct_nonwhite,pct_white,pct_black,pct_asian,poverty_rate,pct_renter,pct_owner,pct_transit_commute,pct_drove_alone,pct_bike_commute,pct_walk_commute,pct_wfh,mean_travel_time_mins,unemployment_rate,pop_bachelors_plus,pct_bachelors_plus,pct_foreign_born
Census Tract 4001; Alameda County; California,3132,52.4,3132,2175,156,0,544,0,46,211,250001.0,150673.0,3122,131,1488,1337,1256,81,1337,107,0,3501.0,1790500.0,1687,763,56,32,69,644,32595.0,1784,1713,71,2488,800,523,336,407,642,3132,06,001,400100,06001400100,Alameda,107,8.0,957,30.56,69.44,4.98,17.37,4.2,6.06,93.94,3.32,45.23,1.9,4.09,38.17,19.32,3.98,2066,83.04,20.5
Census Tract 4002; Alameda County; California,2203,40.1,2203,1451,73,19,274,0,20,366,208438.0,112637.0,2203,170,919,879,537,342,879,16,94,2756.0,1927600.0,1158,303,174,36,21,577,16040.0,1230,1158,72,1750,645,425,205,151,290,2203,06,001,400200,06001400200,Alameda,110,12.51,752,34.14,65.86,3.31,12.44,7.72,38.91,61.09,15.03,26.17,3.11,1.81,49.83,13.85,5.85,1426,81.49,13.16
Census Tract 4003; Alameda County; California,5990,41.0,5990,3615,518,22,489,0,299,1047,176618.0,113042.0,5978,256,2984,2888,1245,1643,2888,23,443,2363.0,1751200.0,3555,1164,661,84,84,1354,72075.0,3922,3680,242,4789,1615,1480,605,248,903,5990,06,001,400300,06001400300,Alameda,466,16.14,2375,39.65,60.35,8.65,8.16,4.28,56.89,43.11,18.59,32.74,2.36,2.36,38.09,20.27,6.17,3948,82.44,15.08
Census Tract 4004; Alameda County; California,4399,37.6,4399,2776,337,10,517,0,180,579,165134.0,111691.0,4318,345,2012,1803,910,893,1803,31,181,2449.0,1586700.0,2427,595,356,148,105,1104,38035.0,2478,2433,28,3314,1229,980,315,247,495,4399,06,001,400400,06001400400,Alameda,212,11.76,1623,36.89,63.11,7.66,11.75,7.99,49.53,50.47,14.67,24.52,6.1,4.33,45.49,15.67,1.13,2771,83.61,11.25
Census Tract 4005; Alameda County; California,3579,36.8,3579,1714,765,3,271,7,284,535,96641.0,68061.0,3573,395,1841,1687,816,871,1687,31,196,2182.0,1404600.0,1904,593,200,106,35,879,25630.0,2102,1912,190,2753,967,719,173,140,296,3579,06,001,400500,06001400500,Alameda,227,13.46,1865,52.11,47.89,21.37,7.57,11.06,51.63,48.37,10.5,31.14,5.57,1.84,46.17,13.46,9.04,1999,72.61,8.27
Census Tract 4006; Alameda County; California,2052,40.2,2052,987,443,31,138,0,94,359,139238.0,74326.0,2008,236,854,835,357,478,835,10,64,2252.0,1189600.0,1237,463,247,35,32,416,,1315,1284,31,1592,517,269,62,169,311,2052,06,001,400600,06001400600,Alameda,74,8.86,1065,51.9,48.1,21.59,6.73,11.75,57.25,42.75,19.97,37.43,2.83,2.59,33.63,,2.36,1017,63.88,15.16
Census Tract 4007; Alameda County; California,4576,37.6,4576,2188,1213,95,528,0,97,455,127083.0,75431.0,4576,563,2230,1985,828,1157,1985,16,107,2398.0,1103600.0,3002,1098,419,49,145,1111,,3228,3047,181,3706,1140,1072,196,210,637,4576,06,001,400700,06001400700,Alameda,123,6.2,2388,52.19,47.81,26.51,11.54,12.3,58.29,41.71,13.96,36.58,1.63,4.83,37.01,,5.61,2618,70.64,13.92
Census Tract 4008; Alameda County; California,4548,36.2,4548,2293,371,135,648,9,505,587,145978.0,80332.0,4523,608,2025,1902,688,1214,1902,30,153,2230.0,1037500.0,3027,1261,378,274,104,849,59940.0,3064,3032,14,3735,1410,761,99,226,1086,4548,06,001,400800,06001400800,Alameda,183,9.62,2255,49.58,50.42,8.16,14.25,13.44,63.83,36.17,12.49,41.66,9.05,3.44,28.05,19.8,0.46,2496,66.83,23.88
Census Tract 4009; Alameda County; California,2855,35.4,2855,1016,882,0,303,0,257,397,115673.0,74259.0,2855,454,1352,1167,527,640,1167,0,69,2261.0,1129200.0,1610,784,144,49,25,521,34180.0,1798,1610,188,2021,609,289,61,120,779,2855,06,001,400900,06001400900,Alameda,69,5.91,1839,64.41,35.59,30.89,10.61,15.9,54.84,45.16,8.94,48.7,3.04,1.55,32.36,21.23,10.46,1079,53.39,27.29
Census Tract 4010; Alameda County; California,6361,34.1,6361,1983,2462,61,377,31,355,1092,136728.0,61108.0,6352,1089,2788,2461,893,1568,2461,81,376,1891.0,927800.0,3797,1321,421,236,179,1516,71545.0,4225,3898,327,4799,1786,687,233,57,823,6361,06,001,401000,06001401000,Alameda,457,18.57,4378,68.83,31.17,38.7,5.93,17.14,63.71,36.29,11.09,34.79,6.22,4.71,39.93,18.84,7.74,2763,57.57,12.94
Census Tract 4011; Alameda County; California,5722,33.8,5722,2172,1549,0,793,0,518,690,96599.0,77655.0,5708,805,3138,2885,463,2422,2885,0,524,2292.0,1157100.0,3452,1098,715,222,90,1068,66465.0,3987,3554,433,4437,1356,959,266,166,1388,5722,06,001,401100,06001401100,Alameda,524,18.16,3550,62.04,37.96,27.07,13.86,14.1,83.95,16.05,20.71,31.81,6.43,2.61,30.94,19.25,10.86,2747,61.91,24.26
Census Tract 4012; Alameda County; California,3073,38.3,3073,1890,152,15,493,0,81,442,123750.0,98939.0,3066,190,1630,1578,649,929,1578,0,194,2444.0,1301600.0,2110,633,427,158,130,633,,2253,2186,67,2627,1065,750,146,141,373,3073,06,001,401200,06001401200,Alameda,194,12.29,1183,38.5,61.5,4.95,16.04,6.2,58.87,41.13,20.24,30.0,7.49,6.16,30.0,,2.97,2102,80.02,12.14
Census Tract 4013; Alameda County; California,4778,35.0,4778,1582,1362,98,915,0,210,611,106938.0,76716.0,4456,528,3115,2644,229,2415,2644,0,620,2392.0,639100.0,3050,1083,574,163,236,862,82585.0,3285,3085,200,4138,1421,525,188,227,929,4778,06,001,401300,06001401300,Alameda,620,23.45,3196,66.89,33.11,28.51,19.15,11.85,91.34,8.66,18.82,35.51,5.34,7.74,28.26,27.08,6.09,2361,57.06,19.44
Census Tract 4014; Alameda County; California,4214,33.4,4214,1314,1310,26,503,0,683,378,70208.0,45631.0,4199,1293,1987,1739,427,1312,1739,40,312,1910.0,889700.0,2466,1265,271,95,16,567,,2785,2510,275,3103,978,332,62,28,817,4214,06,001,401400,06001401400,Alameda,352,20.24,2900,68.82,31.18,31.09,11.94,30.79,75.45,24.55,10.99,51.3,3.85,0.65,22.99,,9.87,1400,45.12,19.39
Census Tract 4015; Alameda County; California,2739,39.8,2739,751,1309,37,122,0,233,287,78598.0,49330.0,2709,612,1355,1233,435,798,1233,85,363,1515.0,798500.0,1431,567,233,53,14,484,26315.0,1681,1473,208,2213,567,321,28,6,565,2739,06,001,401500,06001401500,Alameda,448,36.33,1988,72.58,27.42,47.79,4.45,22.59,64.72,35.28,16.28,39.62,3.7,0.98,33.82,18.39,12.37,922,41.66,20.63
Census Tract 4016; Alameda County; California,2668,32.8,2668,770,822,35,365,0,366,310,174414.0,73234.0,2668,386,1114,999,396,603,999,38,65,2250.0,745100.0,1548,551,232,13,18,485,33900.0,1744,1577,167,1966,593,322,88,46,774,2668,06,001,401600,06001401600,Alameda,103,10.31,1898,71.14,28.86,30.81,13.68,14.47,60.36,39.64,14.99,35.59,0.84,1.16,31.33,21.9,9.58,1049,53.36,29.01
Census Tract 4017; Alameda County; California,3626,37.3,3626,1416,709,0,592,7,427,475,148387.0,77644.0,3611,647,1983,1574,713,861,1574,28,52,2963.0,757500.0,2313,1186,236,22,19,785,55235.0,2585,2451,134,3070,1145,531,90,64,692,3626,06,001,401700,06001401700,Alameda,80,5.08,2210,60.95,39.05,19.55,16.33,17.92,54.7,45.3,10.2,51.28,0.95,0.82,33.94,23.88,5.18,1830,59.61,19.08
Census Tract 4018; Alameda County; California,1792,34.7,1792,484,544,3,78,0,460,223,68299.0,47746.0,1762,338,855,737,214,523,737,26,223,1505.0,1008700.0,935,351,341,23,0,139,,1038,986,52,1250,408,138,64,56,208,1792,06,001,401800,06001401800,Alameda,249,33.79,1308,72.99,27.01,30.36,4.35,19.18,70.96,29.04,36.47,37.54,2.46,0.0,14.87,,5.01,666,53.28,11.61
Census Tract 4022; Alameda County; California,2775,33.9,2775,643,1281,82,169,14,247,339,125351.0,52963.0,2749,481,1160,1050,344,706,1050,24,119,2820.0,676400.0,1647,603,299,11,87,405,,1825,1702,112,2160,890,138,51,67,477,2775,06,001,402200,06001402200,Alameda,143,13.62,2132,76.83,23.17,46.16,6.09,17.5,67.24,32.76,18.15,36.61,0.67,5.28,24.59,,6.14,1146,53.06,17.19
Census Tract 4024; Alameda County; California,2666,42.1,2666,562,1369,31,291,0,50,363,40741.0,41711.0,2643,447,1357,1252,376,876,1252,7,396,1241.0,686600.0,1265,482,368,79,39,222,,1506,1311,185,2013,276,164,60,54,680,2666,06,001,402400,06001402400,Alameda,403,32.19,2104,78.92,21.08,51.35,10.92,16.91,69.97,30.03,29.09,38.1,6.25,3.08,17.55,,12.28,554,27.52,25.51
