,station,geoid,state,county,tract,tract_name
0,12th St. Oakland City Center,06001403000,06,001,403000,Census Tract 4030
1,16th St. Mission,06075020102,06,075,020102,Census Tract 201.02
2,19th St. Oakland,06001402900,06,001,402900,Census Tract 4029
3,24th St. Mission,06075020900,06,075,020900,Census Tract 209
4,Antioch,06013308002,06,013,308002,Census Tract 3080.02
5,Ashby,06001423901,06,001,423901,Census Tract 4239.01
6,Balboa Park,06075026100,06,075,026100,Census Tract 261
7,Bay Fair,06001433802,06,001,433802,Census Tract 4338.02
8,Berryessa/North San Jose,06085504319,06,085,504319,Census Tract 5043.19
9,Castro Valley,06001431200,06,001,431200,Census Tract 4312
10,Civic Center/UN Plaza,06075012405,06,075,012405,Census Tract 124.05
11,Coliseum,06001408800,06,001,408800,Census Tract 4088
12,Colma,06081601302,06,081,601302,Census Tract 6013.02
13,Concord,06013335000,06,013,335000,Census Tract 3350
14,Daly City,06081600701,06,081,600701,Census Tract 6007.01
15,Downtown Berkeley,06001422902,06,001,422902,Census Tract 4229.02
16,Dublin/Pleasanton,06001450743,06,001,450743,Census Tract 4507.43
17,El Cerrito del Norte,06013386000,06,013,386000,Census Tract 3860
18,El Cerrito Plaza,06013389100,06,013,389100,Census Tract 3891
19,Embarcadero,06075011700,06,075,011700,Census Tract 117
20,Fremont,06001441924,06,001,441924,Census Tract 4419.24
21,Fruitvale,06001406100,06,001,406100,Census Tract 4061
22,Glen Park,06075031100,06,075,031100,Census Tract 311
23,Hayward,06001436302,06,001,436302,Census Tract 4363.02
24,Lafayette,06013348000,06,013,348000,Census Tract 3480
25,Lake Merritt,06001403302,06,001,403302,Census Tract 4033.02
26,MacArthur,06001401100,06,001,401100,Census Tract 4011
27,Millbrae,06081604400,06,081,604400,Census Tract 6044
28,Milpitas,06085504509,06,085,504509,Census Tract 5045.09
29,Montgomery St.,06075061501,06,075,061501,Census Tract 615.01
30,North Berkeley,06001422200,06,001,422200,Census Tract 4222
31,North Concord/Martinez,06013355202,06,013,355202,Census Tract 3552.02
32,Oakland International Airport,06001409000,06,001,409000,Census Tract 4090
33,Orinda,06013354001,06,013,354001,Census Tract 3540.01
34,Pittsburg/Bay Point,06013355201,06,013,355201,Census Tract 3552.01
35,Pittsburg Center,06013313104,06,013,313104,Census Tract 3131.04
36,Pleasant Hill/Contra Costa Centre,06013324003,06,013,324003,Census Tract 3240.03
37,Powell St.,06075012503,06,075,012503,Census Tract 125.03
38,Richmond,06013375000,06,013,375000,Census Tract 3750
39,Rockridge,06001400300,06,001,400300,Census Tract 4003
40,San Bruno,06081604102,06,081,604102,Census Tract 6041.02
41,San Francisco International Airport,06081984300,06,081,984300,Census Tract 9843
42,San Leandro,06001432601,06,001,432601,Census Tract 4326.01
43,South Hayward,06001435104,06,001,435104,Census Tract 4351.04
44,South San Francisco,06081601902,06,081,601902,Census Tract 6019.02
45,Union City,06001440338,06,001,440338,Census Tract 4403.38
46,Walnut Creek,06013339004,06,013,339004,Census Tract 3390.04
47,Warm Springs/South Fremont,06001441525,06,001,441525,Census Tract 4415.25
48,West Dublin/Pleasanton,06001450609,06,001,450609,Census Tract 4506.09
49,West Oakland,06001402200,06,001,402200,Census Tract 4022
50,22nd Street,06075061402,06,075,061402,Census Tract 614.02
51,Bayshore,06081600100,06,081,600100,Census Tract 6001
52,Belmont,06081608600,06,081,608600,Census Tract 6086
53,Blossom Hill Caltrain Station,06085512058,06,085,512058,Census Tract 5120.58
54,Broadway,06081605100,06,081,605100,Census Tract 6051
55,Burlingame,06081605400,06,081,605400,Census Tract 6054
56,California Avenue,06085511400,06,085,511400,Census Tract 5114
57,Capitol Caltrain Station,06085503127,06,085,503127,Census Tract 5031.27
58,College Park,06085500300,06,085,500300,Census Tract 5003
59,Gilroy,06085512603,06,085,512603,Census Tract 5126.03
60,Hayward Park,06081607600,06,081,607600,Census Tract 6076
61,Hillsdale,06081607500,06,081,607500,Census Tract 6075
62,Lawrence,06085508708,06,085,508708,Census Tract 5087.08
63,Menlo Park,06081612500,06,081,612500,Census Tract 6125
64,Millbrae Caltrain Station,06081604400,06,081,604400,Census Tract 6044
65,Morgan Hill,06085512312,06,085,512312,Census Tract 5123.12
66,Mountain View,06085509201,06,085,509201,Census Tract 5092.01
67,Palo Alto,06085511302,06,085,511302,Census Tract 5113.02
68,Redwood City,06081610202,06,081,610202,Census Tract 6102.02
69,San Antonio,06085509404,06,085,509404,Census Tract 5094.04
70,San Bruno Caltrain Station,06081604104,06,081,604104,Census Tract 6041.04
71,San Carlos,06081609100,06,081,609100,Census Tract 6091
72,San Francisco Caltrain Station,06075060703,06,075,060703,Census Tract 607.03
73,San Jose Diridon,06085500300,06,085,500300,Census Tract 5003
74,San Martin,06085512401,06,085,512401,Census Tract 5124.01
75,San Mateo,06081606202,06,081,606202,Census Tract 6062.02
76,Santa Clara Caltrain Station,06085505203,06,085,505203,Census Tract 5052.03
77,South San Francisco Caltrain Station,06081602300,06,081,602300,Census Tract 6023
78,Sunnyvale,06085508707,06,085,508707,Census Tract 5087.07
79,Tamien Caltrain Station,06085503113,06,085,503113,Census Tract 5031.13
