,osm_id,name,type,subtype,latitude,longitude,street,city,operator,opening_hours,category
0,node/358806966,Saint Joseph's Behavioral Health Center,amenity,hospital,37.9767296,-121.2909090,North California Street,Stockton,Dignity Health,24/7,hospital
1,node/358852460,Shriners Hospitals for Children — Northern California,amenity,hospital,38.5529616,-121.4552310,Stockton Boulevard,Sacramento,Shriners Hospitals for Children,,hospital
2,node/1256830720,Menlo Park Surgical Hospital,amenity,hospital,37.4615473,-122.1590573,Willow Road,Menlo Park,Sutter Health,24/7,hospital
3,node/2588232404,UC Davis Comprehensive Cancer Center,amenity,hospital,38.5539253,-121.4526360,45th Street,Sacramento,,,hospital
4,node/4001273234,Valley Recovery Center of California,amenity,hospital,38.5751753,-121.4143325,Fair Oaks Boulevard,Sacramento,Summit Behavioral Healthcare,,hospital
5,node/4785477140,Kaiser Ambulatory Surgery Center,amenity,hospital,38.4692333,-121.4237154,Bruceville Road,Sacramento,Kaiser Permanente,,hospital
6,node/5555408498,UCSF Benioff Children's Hospital San Francisco,amenity,hospital,37.7647716,-122.3896641,4th Street,San Francisco,,24/7,hospital
7,node/5805243057,Sequoia Hospital,amenity,hospital,37.4795113,-122.2550230,Alameda de las Pulgas,Redwood City,Dignity Health,24/7,hospital
8,node/6709187265,Unnamed,amenity,hospital,38.6695760,-121.3141295,,,,,hospital
9,node/6816256205,Dublin Medical Offices and Cancer Center,amenity,hospital,37.7033003,-121.8586530,Dublin Boulevard,Dublin,Kaiser Permanente,,hospital
10,node/7143800587,Santa Cruz Post Acute Rehab,amenity,hospital,36.9779863,-121.9879106,,,,,hospital
11,node/8413935550,Aurora Behavioral Healthcare - Santa Rosa,amenity,hospital,38.4503989,-122.7716276,Fulton Road,Santa Rosa,,,hospital
12,node/9865529017,UC Medical Center Moffett & Long Hospitals,amenity,hospital,37.7630641,-122.4570483,,,,24/7,hospital
13,node/10866259068,Crestwood Psychiatric Health Facility - Carmichael,amenity,hospital,38.6334945,-121.3545544,Engle Road,Carmichael,,,hospital
14,node/10866472839,Sutter Center For Psychiatry,amenity,hospital,38.5499259,-121.4146168,Folsom Boulevard,Sacramento,,,hospital
15,node/10866477264,Kentfield Hospital,amenity,hospital,37.9587062,-122.5524959,Sir Francis Drake Boulevard,Kentfield,,,hospital
16,node/11992820909,The Avenues Transitional Care Center,amenity,hospital,37.7496669,-122.4762990,19th Avenue,San Francisco,,,hospital
17,node/12092036107,Double Happiness Health - Acupuncture San Francisco,amenity,hospital,37.7590075,-122.4167070,20th Street,San Francisco,,,hospital
18,node/12597079493,Valley Specialty Center,amenity,hospital,37.3151936,-121.9332862,South Bascom Avenue,San Jose,Santa Clara Valley Healthcare,,hospital
19,node/12750632901,Walnut Creek Main Pharmacy Medical Office Building,amenity,hospital,37.8915338,-122.0587352,South Main Street,,,,hospital
20,node/12778085808,Aesthetx,amenity,hospital,37.9430248,-122.5186078,Drakes Landing Road,Greenbrae,,,hospital
21,node/12978791990,Unnamed,amenity,hospital,37.7147698,-121.7032021,,,Sutter Health,,hospital
22,node/13120507710,Unnamed,amenity,hospital,38.5745002,-121.3277745,,,,,hospital
23,node/13343563786,Kaiser Permanente Fremont Emergency Department,amenity,hospital,37.5530827,-121.9753702,,,,,hospital
24,way/22942804,Children's Hospital & Research Center Oakland,amenity,hospital,37.8370683,-122.2676417,52nd Street,Oakland,,24/7,hospital
25,way/24446045,San Francisco General Hospital,amenity,hospital,37.7567781,-122.4052172,Potrero Avenue,San Francisco,,24/7,hospital
26,way/24561476,Kaiser Permanente South San Francisco Medical Center,amenity,hospital,37.6595195,-122.4394713,El Camino Real,South San Francisco,Kaiser Permanente,24/7,hospital
27,way/27294884,Saint Louise Regional Hospital,amenity,hospital,37.0366437,-121.5717801,No Name Uno,Gilroy,Santa Clara Valley Healthcare,24/7,hospital
28,way/28404502,Highland Hospital,amenity,hospital,37.7981756,-122.2314330,East 31st Street,Oakland,Alameda Health System,24/7,hospital
29,way/28459583,Alta Bates Summit Medical Center - Summit Campus,amenity,hospital,37.8207593,-122.2643458,Hawthorne Avenue,Oakland,Sutter Health,24/7,hospital
30,way/30906584,PAMF Mountain View Center,amenity,hospital,37.3761640,-122.0655721,East El Camino Real,Mountain View,Sutter Health,,hospital
31,way/31532102,Contra Costa Regional Medical Center,amenity,hospital,38.0067470,-122.1325420,Alhambra Avenue,Martinez,Contra Costa Health Services,24/7,hospital
32,way/31556915,Sutter Delta Medical Center,amenity,hospital,37.9826454,-121.8031810,Lone Tree Way,Antioch,Sutter Health,24/7,hospital
33,way/31741127,John Muir Medical Center,amenity,hospital,37.9123991,-122.0403934,Ygnacio Canal Trail,Walnut Creek,John Muir Health,24/7,hospital
34,way/32476139,Kaiser Permanente,amenity,hospital,38.5408529,-121.7283438,Cowell Boulevard,Davis,Kaiser Permanente,,hospital
35,way/33967913,IQ Laser Vision & ScottHyver Visioncare,amenity,hospital,37.7012726,-122.4701474,Junipero Serra Boulevard,Daly City,Scott Hyver,,hospital
36,way/37622850,Mission Oaks Hospital,amenity,hospital,37.2444031,-121.9482986,Los Gatos Almaden Road,Los Gatos,HCA,,hospital
37,way/37789413,Sutter Roseville Medical Center,amenity,hospital,38.7662117,-121.2496604,Medical Plaza Drive,,Sutter Health,24/7,hospital
38,way/37862115,Kaiser Permanente Fremont Medical Center,amenity,hospital,37.5523445,-121.9747427,Paseo Padre Parkway,Fremont,Kaiser Permanente,24/7,hospital
39,way/38060492,Kaiser Permanente San Jose,amenity,hospital,37.2400148,-121.8008829,Hospital Parkway,San Jose,Kaiser Permanente,24/7,hospital
40,way/38061549,Good Samaritan Hospital,amenity,hospital,37.2523269,-121.9456645,Samaritan Drive,San Jose,HCA,24/7,hospital
41,way/38098752,Crestwood San Jose Psychiatric Health Facility,amenity,hospital,37.3114795,-121.9150893,Fruitdale Avenue,San Jose,,,hospital
42,way/38198942,Kaiser Permanente Santa Clara Medical Center,amenity,hospital,37.3358468,-121.9991897,Lawrence Expressway,Santa Clara,Kaiser Permanente,24/7,hospital
43,way/38899283,O’Connor Hospital,amenity,hospital,37.3281384,-121.9382598,Forest Avenue,San Jose,Verity Health,24/7,hospital
44,way/39359077,VacaValley Hospital,amenity,hospital,38.3551254,-121.9513321,Nut Tree Road,Vacaville,NorthBay Healthcare,24/7,hospital
45,way/40188454,Cordilleras Mental Health Center,amenity,hospital,37.4735507,-122.2860960,Edmonds Road,Redwood City,,24/7,hospital
46,way/40719759,El Camino Hospital,amenity,hospital,37.3686082,-122.0810460,Grant Road,Mountain View,El Camino Health,24/7,hospital
47,way/41381925,Dominican Hospital,amenity,hospital,36.9900559,-121.9836077,Soquel Drive,Santa Cruz,Dignity Health,24/7,hospital
48,way/43985625,VA Palo Alto Health Care System - Livermore Division,amenity,hospital,37.6255298,-121.7633724,Arroyo Road,Livermore,Veterans Health Administration,Mo-Fr 08:00-16:30,hospital
49,way/53364481,VA Medical Center Menlo Park,amenity,hospital,37.4662628,-122.1606326,Willow Road,Palo Alto,Veterans Health Administration,Mo-Fr 08:00-16:30,hospital
50,way/104334210,Oakland Medical Center,amenity,hospital,37.8244811,-122.2579905,Broadway,Oakland,Kaiser Permanente,24/7,hospital
51,way/112073351,CPMC Davies Campus,amenity,hospital,37.7682569,-122.4346212,Castro Street,San Francisco,California Pacific Medical Center,24/7,hospital
52,way/120650296,Kaiser Permanente Roseville Medical Center,amenity,hospital,38.7463051,-121.2500598,Eureka Road,Roseville,Kaiser Permanente,24/7,hospital
53,way/120650308,Unnamed,amenity,hospital,38.7654433,-121.2481887,,,,,hospital
54,way/123074822,Kaiser Permanente Antioch Medical Center,amenity,hospital,37.9508127,-121.7748562,Sand Creek Road,Antioch,Kaiser Permanente,24/7,hospital
55,way/129008826,Stanford Health Care Tri-Valley,amenity,hospital,37.6936709,-121.8808269,West Las Positas Boulevard,Pleasanton,Stanford Health Care,24/7,hospital
56,way/152699989,Doctors on Duty,amenity,hospital,36.9869751,-121.9211056,Soquel Drive,,,,hospital
57,way/160702015,Saint Mary's Medical Center,amenity,hospital,37.7739399,-122.4536158,Stanyan Street,San Francisco,Dignity Health,24/7,hospital
58,way/160703804,Chinese Hospital,amenity,hospital,37.7954771,-122.4090035,Jackson Street,San Francisco,,24/7,hospital
59,way/160705973,California Pacific Medical Center,amenity,hospital,37.7906634,-122.4322447,Buchanan Street,San Francisco,Sutter Health,24/7,hospital
60,way/160709337,CPMC Saint Luke's Campus,amenity,hospital,37.7472485,-122.4210918,Cesar Chavez Street,San Francisco,California Pacific Medical Center,24/7,hospital
61,way/160710807,Saint Francis Memorial Hospital,amenity,hospital,37.7896083,-122.4168672,Hyde Street,San Francisco,Dignity Health,24/7,hospital
62,way/160833241,CPMC California Campus,amenity,hospital,37.7865654,-122.4559321,,San Francisco,Sutter Health,24/7,hospital
63,way/160833245,Kaiser Permanente Medical Center Geary Campus,amenity,hospital,37.7828588,-122.4418781,Geary Boulevard,San Francisco,Kaiser Permanente,24/7,hospital
64,way/160833250,UCSF Mount Zion Campus,amenity,hospital,37.7848676,-122.4393802,Divisadero Street,San Francisco,"University of California, San Francisco",,hospital
65,way/160835902,Laguna Honda Hospital And Rehabilitation Center,amenity,hospital,37.7492051,-122.4573186,Laguna Honda Boulevard,San Francisco,,,hospital
66,way/174612708,Sutter Solano Medical Center,amenity,hospital,38.1311841,-122.2383367,Hospital Drive,Vallejo,Sutter Health,24/7,hospital
