,station,geoid,state_x,county_x,tract_x,tract_name,Unnamed: 0,station_id_x,name,latitude,longitude,address,city,county_y,zipcode,agency,mode,geometry,station_id_y,station_type,NAME,total_pop,median_age,total_pop_race,white_alone,black_alone,aian_alone,asian_alone,nhpi_alone,other_race_alone,two_or_more_races,median_household_income,per_capita_income,total_pop_poverty_calc,pop_below_poverty,total_housing_units,total_occupied_units,owner_occupied,renter_occupied,total_households,owner_occ_no_vehicle,renter_occ_no_vehicle,median_gross_rent,median_home_value,total_workers_16plus,drove_alone,public_transit_commuters,bicycle_commuters,walked_commuters,worked_from_home,aggregate_travel_time_mins,labor_force,employed,unemployed,pop_25plus,bachelors_degree,masters_degree,professional_degree,doctorate_degree,foreign_born,total_pop_nativity,state_y,county,tract_y,GEOID,county_name,households_no_vehicle,pct_no_vehicle,pop_nonwhite,pct_nonwhite,pct_white,pct_black,pct_asian,poverty_rate,pct_renter,pct_owner,pct_transit_commute,pct_drove_alone,pct_bike_commute,pct_walk_commute,pct_wfh,mean_travel_time_mins,unemployment_rate,pop_bachelors_plus,pct_bachelors_plus,pct_foreign_born
0,12th St. Oakland City Center,06001403000,06,001,403000,Census Tract 4030,0,12TH,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,94612.0,BART,Heavy Rail,POINT (-122.27145 37.803768),12th St. Oakland City Center,core,Census Tract 4030; Alameda County; California,3387,40.4,3387,444,320,2,2178,48,48,347,58794.0,60439.0,3387,799,2413,2034,353,1681,2034,182,1008,2128.0,573000.0,1659,331,440,0,137,707,,1931,1760,171,3024,825,454,67,26,2062,3387,6,1,403000,06001403000,Alameda,1190,58.51,2943,86.89,13.11,9.45,64.3,23.59,82.65,17.35,26.52,19.95,0.0,8.26,42.62,,8.86,1372,45.37,60.88
1,16th St. Mission,06075020102,06,075,020102,Census Tract 201.02,1,16TH,16th St. Mission,37.765062,-122.419694,2000 Mission Street,San Francisco,sanfrancisco,94110.0,BART,Heavy Rail,POINT (-122.419694 37.765062),16th St. Mission,core,Census Tract 201.02; San Francisco County; California,3463,45.0,3463,981,272,57,623,0,1009,521,100761.0,55597.0,3463,948,1861,1306,221,1085,1306,60,639,1764.0,1098000.0,1668,432,315,87,248,467,,2150,1684,466,2885,693,416,33,126,1126,3463,6,75,20102,06075020102,San Francisco,699,53.52,2482,71.67,28.33,7.85,17.99,27.38,83.08,16.92,18.88,25.9,5.22,14.87,28.0,,21.67,1268,43.95,32.52
2,19th St. Oakland,06001402900,06,001,402900,Census Tract 4029,2,19TH,19th St. Oakland,37.80835,-122.268602,1900 Broadway,Oakland,alameda,94612.0,BART,Heavy Rail,POINT (-122.268602 37.80835),19th St. Oakland,core,Census Tract 4029; Alameda County; California,2431,37.2,2431,661,603,10,692,0,112,353,66050.0,89947.0,2417,515,2071,1715,12,1703,1715,0,1029,2096.0,,1496,298,484,19,86,446,,1648,1525,123,2182,829,377,41,85,710,2431,6,1,402900,06001402900,Alameda,1029,60.0,1770,72.81,27.19,24.8,28.47,21.31,99.3,0.7,32.35,19.92,1.27,5.75,29.81,,7.46,1332,61.04,29.21
3,24th St. Mission,06075020900,06,075,020900,Census Tract 209,3,24TH,24th St. Mission,37.75247,-122.418143,2800 Mission Street,San Francisco,sanfrancisco,94110.0,BART,Heavy Rail,POINT (-122.418143 37.75247),24th St. Mission,core,Census Tract 209; San Francisco County; California,3746,38.4,3746,1222,38,33,612,0,1170,671,96250.0,67562.0,3733,387,1898,1607,223,1384,1607,50,480,2446.0,1296100.0,2157,438,715,114,101,730,43075.0,2478,2279,199,2979,1144,474,111,156,1180,3746,6,75,20900,06075020900,San Francisco,530,32.98,2524,67.38,32.62,1.01,16.34,10.37,86.12,13.88,33.15,20.31,5.29,4.68,33.84,19.97,8.03,1885,63.28,31.5
4,Antioch,06013308002,06,013,308002,Census Tract 3080.02,4,ANTC,Antioch,37.995388,-121.78042,1600 Slatten Ranch Road,Antioch,Contra Costa,94509.0,BART,Heavy Rail,POINT (-121.78042 37.995388),Antioch,peripheral,Census Tract 3080.02; Contra Costa County; California,5146,39.9,5146,1196,1254,155,620,22,935,964,119896.0,50923.0,5134,452,1669,1648,1375,273,1648,12,15,2585.0,726400.0,2477,1615,94,0,1,328,112050.0,2752,2527,225,3583,679,181,7,30,1189,5146,6,13,308002,06013308002,Contra Costa,27,1.64,3950,76.76,23.24,24.37,12.05,8.8,16.57,83.43,3.79,65.2,0.0,0.04,13.24,45.24,8.18,897,25.03,23.11
5,Ashby,06001423901,06,001,423901,Census Tract 4239.01,5,ASHB,Ashby,37.852803,-122.270062,3100 Adeline Street,Berkeley,alameda,94703.0,BART,Heavy Rail,POINT (-122.270062 37.852803),Ashby,peripheral,Census Tract 4239.01; Alameda County; California,2227,34.9,2227,1090,215,1,317,0,127,477,136607.0,71674.0,2218,200,987,969,377,592,969,21,128,2529.0,1170000.0,1230,417,175,111,33,332,23485.0,1358,1312,37,1637,554,475,118,88,429,2227,6,1,423901,06001423901,Alameda,149,15.38,1137,51.06,48.94,9.65,14.23,9.02,61.09,38.91,14.23,33.9,9.02,2.68,26.99,19.09,2.72,1235,75.44,19.26
6,Balboa Park,06075026100,06,075,026100,Census Tract 261,6,BALB,Balboa Park,37.721585,-122.447506,401 Geneva Avenue,San Francisco,sanfrancisco,94112.0,BART,Heavy Rail,POINT (-122.447506 37.721585),Balboa Park,core,Census Tract 261; San Francisco County; California,6811,43.1,6811,538,0,118,4433,28,1129,565,122222.0,51736.0,6752,694,2220,2146,1401,745,2146,99,272,1950.0,1234000.0,3153,1142,867,53,126,648,76715.0,3541,3192,349,5083,1605,173,71,12,3229,6811,6,75,26100,06075026100,San Francisco,371,17.29,6273,92.1,7.9,0.0,65.09,10.28,34.72,65.28,27.5,36.22,1.68,4.0,20.55,24.33,9.86,1861,36.61,47.41
7,Bay Fair,06001433802,06,001,433802,Census Tract 4338.02,7,BAYF,Bay Fair,37.696924,-122.126514,15242 Hesperian Blvd.,San Leandro,alameda,94578.0,BART,Heavy Rail,POINT (-122.126514 37.696924),Bay Fair,core,Census Tract 4338.02; Alameda County; California,4079,39.4,4079,537,752,63,1576,0,465,686,90739.0,44200.0,4079,345,1538,1493,924,569,1493,148,91,2441.0,836000.0,2020,1330,226,0,25,149,81695.0,2159,2108,51,2946,854,225,0,10,1457,4079,6,1,433802,06001433802,Alameda,239,16.01,3542,86.84,13.16,18.44,38.64,8.46,38.11,61.89,11.19,65.84,0.0,1.24,7.38,40.44,2.36,1089,36.97,35.72
8,Berryessa/North San Jose,06085504319,06,085,504319,Census Tract 5043.19,8,BERY,Berryessa/North San Jose,37.368473,-121.874681,1620 Berryessa Road,San Jose,Santa Clara,95133.0,BART,Heavy Rail,POINT (-121.874681 37.368473),Berryessa/North San Jose,core,Census Tract 5043.19; Santa Clara County; California,5980,41.1,5980,703,111,66,4075,0,688,337,227279.0,82383.0,5951,613,2072,1979,1540,439,1979,91,41,2921.0,1330500.0,3099,1735,37,19,53,992,56935.0,3402,3246,156,4674,1854,818,91,153,2805,5980,6,85,504319,06085504319,Santa Clara,132,6.67,5277,88.24,11.76,1.86,68.14,10.3,22.18,77.82,1.19,55.99,0.61,1.71,32.01,18.37,4.59,2916,62.39,46.91
9,Castro Valley,06001431200,06,001,431200,Census Tract 4312,9,CAST,Castro Valley,37.690746,-122.075602,3301 Norbridge Dr.,Castro Valley,alameda,94546.0,BART,Heavy Rail,POINT (-122.075602 37.690746),Castro Valley,peripheral,Census Tract 4312; Alameda County; California,6033,40.1,6033,2241,1040,0,1375,159,371,847,122872.0,54896.0,5912,467,2568,2422,1355,1067,2422,126,326,2595.0,776100.0,2807,2024,50,0,58,507,59570.0,2931,2903,28,4387,1305,637,121,29,1199,6033,6,1,431200,06001431200,Alameda,452,18.66,3792,62.85,37.15,17.24,22.79,7.9,44.05,55.95,1.78,72.11,0.0,2.07,18.06,21.22,0.96,2092,47.69,19.87
