station,agency,fiscal_year,metric,avg_weekday_exits,rank,method_percentile,method_zscore,method_kmeans,method_jenks,core_votes,consensus
San Francisco,Caltrain,FY2025,avg_mid_week_ridership_AMWR,7400,6,core,core,core,peripheral,3,core
12th St. Oakland City Center,BART,FY2025,avg_weekday_exits,6900,7,core,core,core,peripheral,3,core
19th St. Oakland,BART,FY2025,avg_weekday_exits,6100,8,core,core,core,peripheral,3,core
Millbrae,BART,FY2025,avg_weekday_exits,5800,9,core,core,core,peripheral,3,core
Walnut Creek,BART,FY2025,avg_weekday_exits,5500,10,core,core,core,peripheral,3,core
Downtown Berkeley,BART,FY2025,avg_weekday_exits,5461,11,core,core,core,peripheral,3,core
Daly City,BART,FY2025,avg_weekday_exits,4800,12,core,core,core,peripheral,3,core
Lake Merritt,BART,FY2025,avg_weekday_exits,4800,13,core,core,core,peripheral,3,core
Fruitvale,BART,FY2025,avg_weekday_exits,4700,14,core,core,core,peripheral,3,core
San Francisco Airport,BART,FY2025,avg_weekday_exits,4500,15,core,core,core,peripheral,3,core
Dublin/Pleasanton,BART,FY2025,avg_weekday_exits,4500,16,core,core,core,peripheral,3,core
Rockridge,BART,FY2025,avg_weekday_exits,4300,17,core,core,core,peripheral,3,core
Fremont,BART,FY2025,avg_weekday_exits,4200,18,core,core,core,peripheral,3,core
MacArthur,BART,FY2025,avg_weekday_exits,4200,19,core,core,core,peripheral,3,core
Pleasant Hill/Contra Costa Centre,BART,FY2025,avg_weekday_exits,4200,20,core,core,core,peripheral,3,core
Coliseum,BART,FY2025,avg_weekday_exits,4100,21,core,core,core,peripheral,3,core
16th St. Mission,BART,FY2025,avg_weekday_exits,4000,22,core,core,core,peripheral,3,core
Bay Fair,BART,FY2025,avg_weekday_exits,3900,23,core,core,core,peripheral,3,core
El Cerrito Del Norte,BART,FY2025,avg_weekday_exits,3867,24,core,core,core,peripheral,3,core
Concord,BART,FY2025,avg_weekday_exits,3800,25,core,core,core,peripheral,3,core
West Oakland,BART,FY2025,avg_weekday_exits,3800,26,core,core,core,peripheral,3,core
San Jose Diridon,Caltrain,FY2025,avg_mid_week_ridership_AMWR,3760,27,core,core,core,peripheral,3,core
San Leandro,BART,FY2025,avg_weekday_exits,3700,28,core,core,core,peripheral,3,core
Balboa Park,BART,FY2025,avg_weekday_exits,3600,29,core,core,core,peripheral,3,core
Glen Park,BART,FY2025,avg_weekday_exits,3500,30,core,core,core,peripheral,3,core
Berryessa/North San José,BART,FY2025,avg_weekday_exits,3300,31,core,core,core,peripheral,3,core
Palo Alto,Caltrain,FY2025,avg_mid_week_ridership_AMWR,3290,32,core,core,core,peripheral,3,core
Hayward,BART,FY2025,avg_weekday_exits,3200,33,core,peripheral,core,peripheral,2,peripheral
Lafayette,BART,FY2025,avg_weekday_exits,3100,34,core,peripheral,core,peripheral,2,peripheral
Milpitas,BART,FY2025,avg_weekday_exits,3100,35,core,peripheral,core,peripheral,2,peripheral
Pittsburg/Bay Point,BART,FY2025,avg_weekday_exits,3100,36,core,peripheral,core,peripheral,2,peripheral
Orinda,BART,FY2025,avg_weekday_exits,2800,37,core,peripheral,core,peripheral,2,peripheral
Warm Springs/South Fremont,BART,FY2025,avg_weekday_exits,2800,38,core,peripheral,core,peripheral,2,peripheral
West Dublin/Pleasanton,BART,FY2025,avg_weekday_exits,2600,39,core,peripheral,core,peripheral,2,peripheral
Castro Valley,BART,FY2025,avg_weekday_exits,2600,40,core,peripheral,core,peripheral,2,peripheral
Union City,BART,FY2025,avg_weekday_exits,2600,41,core,peripheral,core,peripheral,2,peripheral
Millbrae,Caltrain,FY2025,avg_mid_week_ridership_AMWR,2570,42,peripheral,peripheral,core,peripheral,1,peripheral
South San Francisco,BART,FY2025,avg_weekday_exits,2500,43,peripheral,peripheral,core,peripheral,1,peripheral
San Bruno,BART,FY2025,avg_weekday_exits,2400,44,peripheral,peripheral,core,peripheral,1,peripheral
