station,agency,metric,avg_weekday_exits,rank,method_percentile,method_kmeans,method_jenks,core_votes,consensus
Embarcadero,BART,avg_weekday_exits,17741,1,core,core,core,3,core
Montgomery Street,BART,avg_weekday_exits,14342,2,core,core,core,3,core
Powell Street,BART,avg_weekday_exits,11002,3,core,core,core,3,core
Civic Center,BART,avg_weekday_exits,9172,4,core,core,core,3,core
San Francisco,Caltrain,avg_mid_week_ridership_AMWR,6874,5,core,core,core,3,core
16th Street Mission,BART,avg_weekday_exits,5642,6,core,core,peripheral,2,core
Berkeley,BART,avg_weekday_exits,5587,7,core,core,peripheral,2,core
24th Street Mission,BART,avg_weekday_exits,5491,8,core,core,peripheral,2,core
12th Street / Oakland City Center,BART,avg_weekday_exits,5164,9,core,core,peripheral,2,core
Daly City,BART,avg_weekday_exits,4864,10,core,core,peripheral,2,core
19th Street Oakland,BART,avg_weekday_exits,4606,11,core,core,peripheral,2,core
Balboa Park,BART,avg_weekday_exits,4019,12,core,core,peripheral,2,core
Fruitvale,BART,avg_weekday_exits,3998,13,core,core,peripheral,2,core
El Cerrito Del Norte,BART,avg_weekday_exits,3819,14,core,core,peripheral,2,core
San Francisco International Airport,BART,avg_weekday_exits,3762,15,core,core,peripheral,2,core
MacArthur,BART,avg_weekday_exits,3762,16,core,core,peripheral,2,core
Palo Alto,Caltrain,avg_mid_week_ridership_AMWR,3603,17,core,core,peripheral,2,core
West Oakland,BART,avg_weekday_exits,3510,18,core,core,peripheral,2,core
San Leandro,BART,avg_weekday_exits,3360,19,core,core,peripheral,2,core
Glen Park,BART,avg_weekday_exits,3186,20,core,core,peripheral,2,core
Dublin/Pleasanton,BART,avg_weekday_exits,3057,21,core,core,peripheral,2,core
Walnut Creek,BART,avg_weekday_exits,2897,22,core,core,peripheral,2,core
Lake Merritt,BART,avg_weekday_exits,2855,23,core,core,peripheral,2,core
Coliseum,BART,avg_weekday_exits,2670,24,core,core,peripheral,2,core
Concord,BART,avg_weekday_exits,2660,25,core,core,peripheral,2,core
Rockridge,BART,avg_weekday_exits,2638,26,core,core,peripheral,2,core
Bayfair,BART,avg_weekday_exits,2623,27,core,core,peripheral,2,core
Pleasant Hill,BART,avg_weekday_exits,2536,28,core,core,peripheral,2,core
Richmond,BART,avg_weekday_exits,2414,29,core,core,peripheral,2,core
Hayward,BART,avg_weekday_exits,2294,30,core,core,peripheral,2,core
Mountain View,Caltrain,avg_mid_week_ridership_AMWR,2288,31,core,core,peripheral,2,core
Pittsburg/Bay Point,BART,avg_weekday_exits,2197,32,core,core,peripheral,2,core
San Jose Diridon,Caltrain,avg_mid_week_ridership_AMWR,2136,33,core,core,peripheral,2,core
Redwood City,Caltrain,avg_mid_week_ridership_AMWR,2111,34,core,core,peripheral,2,core
El Cerrito Plaza,BART,avg_weekday_exits,2074,35,core,core,peripheral,2,core
Fremont,BART,avg_weekday_exits,2043,36,core,core,peripheral,2,core
Ashby,BART,avg_weekday_exits,1908,37,core,core,peripheral,2,core
Union City,BART,avg_weekday_exits,1858,38,core,core,peripheral,2,core
Pittsburg Center,BART,avg_weekday_exits,1798,39,core,core,peripheral,2,core
Millbrae,BART,avg_weekday_exits,1773,40,core,core,peripheral,2,core
Sunnyvale,Caltrain,avg_mid_week_ridership_AMWR,1770,41,peripheral,core,peripheral,1,peripheral
North Berkeley,BART,avg_weekday_exits,1740,42,peripheral,core,peripheral,1,peripheral
Lafayette,BART,avg_weekday_exits,1641,43,peripheral,core,peripheral,1,peripheral
Hillsdale,Caltrain,avg_mid_week_ridership_AMWR,1596,44,peripheral,core,peripheral,1,peripheral
Colma,BART,avg_weekday_exits,1528,45,peripheral,core,peripheral,1,peripheral
Berryessa / North San Jos,BART,avg_weekday_exits,1490,46,peripheral,core,peripheral,1,peripheral
Millbrae,Caltrain,avg_mid_week_ridership_AMWR,1489,47,peripheral,core,peripheral,1,peripheral
San Bruno,BART,avg_weekday_exits,1468,48,peripheral,core,peripheral,1,peripheral
South Hayward,BART,avg_weekday_exits,1419,49,peripheral,core,peripheral,1,peripheral
South San Francisco,BART,avg_weekday_exits,1347,50,peripheral,core,peripheral,1,peripheral
West Dublin/Pleasanton,BART,avg_weekday_exits,1280,51,peripheral,core,peripheral,1,peripheral
Orinda,BART,avg_weekday_exits,1276,52,peripheral,core,peripheral,1,peripheral
San Mateo,Caltrain,avg_mid_week_ridership_AMWR,1270,53,peripheral,core,peripheral,1,peripheral
22nd Street,Caltrain,avg_mid_week_ridership_AMWR,1261,54,peripheral,core,peripheral,1,peripheral
Milpitas,BART,avg_weekday_exits,1238,55,peripheral,core,peripheral,1,peripheral
Castro Valley,BART,avg_weekday_exits,1228,56,peripheral,core,peripheral,1,peripheral
Warm Springs,BART,avg_weekday_exits,1163,57,peripheral,core,peripheral,1,peripheral
Menlo Park,Caltrain,avg_mid_week_ridership_AMWR,863,58,peripheral,core,peripheral,1,peripheral
Santa Clara,Caltrain,avg_mid_week_ridership_AMWR,839,59,peripheral,core,peripheral,1,peripheral
California Ave,Caltrain,avg_mid_week_ridership_AMWR,817,60,peripheral,core,peripheral,1,peripheral
South San Francisco,Caltrain,avg_mid_week_ridership_AMWR,692,61,peripheral,peripheral,peripheral,0,peripheral
Lawrence,Caltrain,avg_mid_week_ridership_AMWR,686,62,peripheral,peripheral,peripheral,0,peripheral
San Antonio,Caltrain,avg_mid_week_ridership_AMWR,655,63,peripheral,peripheral,peripheral,0,peripheral
Belmont,Caltrain,avg_mid_week_ridership_AMWR,654,64,peripheral,peripheral,peripheral,0,peripheral
San Carlos,Caltrain,avg_mid_week_ridership_AMWR,644,65,peripheral,peripheral,peripheral,0,peripheral
North Concord,BART,avg_weekday_exits,637,66,peripheral,peripheral,peripheral,0,peripheral
Burlingame,Caltrain,avg_mid_week_ridership_AMWR,620,67,peripheral,peripheral,peripheral,0,peripheral
Oakland International Airport,BART,avg_weekday_exits,571,68,peripheral,peripheral,peripheral,0,peripheral
Antioch,BART,avg_weekday_exits,523,69,peripheral,peripheral,peripheral,0,peripheral
San Bruno,Caltrain,avg_mid_week_ridership_AMWR,377,70,peripheral,peripheral,peripheral,0,peripheral
Hayward Park,Caltrain,avg_mid_week_ridership_AMWR,366,71,peripheral,peripheral,peripheral,0,peripheral
Tamien,Caltrain,avg_mid_week_ridership_AMWR,243,72,peripheral,peripheral,peripheral,0,peripheral
Bayshore,Caltrain,avg_mid_week_ridership_AMWR,168,73,peripheral,peripheral,peripheral,0,peripheral
Morgan Hill,Caltrain,avg_mid_week_ridership_AMWR,130,74,peripheral,peripheral,peripheral,0,peripheral
Gilroy,Caltrain,avg_mid_week_ridership_AMWR,110,75,peripheral,peripheral,peripheral,0,peripheral
Broadway,Caltrain,avg_mid_week_ridership_AMWR,91,76,peripheral,peripheral,peripheral,0,peripheral
Blossom Hill,Caltrain,avg_mid_week_ridership_AMWR,71,77,peripheral,peripheral,peripheral,0,peripheral
Capitol,Caltrain,avg_mid_week_ridership_AMWR,49,78,peripheral,peripheral,peripheral,0,peripheral
College Park,Caltrain,avg_mid_week_ridership_AMWR,41,79,peripheral,peripheral,peripheral,0,peripheral
San Martin,Caltrain,avg_mid_week_ridership_AMWR,25,80,peripheral,peripheral,peripheral,0,peripheral
