station,agency,metric,avg_weekday_exits,avg_weekly_ridership,avg_annual_ridership,rank
Embarcadero,BART,avg_weekday_exits,17741,88705,4612660,1
Montgomery Street,BART,avg_weekday_exits,14342,71710,3728920,2
Powell Street,BART,avg_weekday_exits,11002,55010,2860520,3
Civic Center,BART,avg_weekday_exits,9172,45860,2384720,4
San Francisco,Caltrain,avg_mid_week_ridership_AMWR,6874,34370,1787240,5
16th Street Mission,BART,avg_weekday_exits,5642,28210,1466920,6
Berkeley,BART,avg_weekday_exits,5587,27935,1452620,7
24th Street Mission,BART,avg_weekday_exits,5491,27455,1427660,8
12th Street / Oakland City Center,BART,avg_weekday_exits,5164,25820,1342640,9
Daly City,BART,avg_weekday_exits,4864,24320,1264640,10
19th Street Oakland,BART,avg_weekday_exits,4606,23030,1197560,11
Balboa Park,BART,avg_weekday_exits,4019,20095,1044940,12
Fruitvale,BART,avg_weekday_exits,3998,19990,1039480,13
El Cerrito Del Norte,BART,avg_weekday_exits,3819,19095,992940,14
San Francisco International Airport,BART,avg_weekday_exits,3762,18810,978120,15
MacArthur,BART,avg_weekday_exits,3762,18810,978120,16
Palo Alto,Caltrain,avg_mid_week_ridership_AMWR,3603,18015,936780,17
West Oakland,BART,avg_weekday_exits,3510,17550,912600,18
San Leandro,BART,avg_weekday_exits,3360,16800,873600,19
Glen Park,BART,avg_weekday_exits,3186,15930,828360,20
Dublin/Pleasanton,BART,avg_weekday_exits,3057,15285,794820,21
Walnut Creek,BART,avg_weekday_exits,2897,14485,753220,22
Lake Merritt,BART,avg_weekday_exits,2855,14275,742300,23
Coliseum,BART,avg_weekday_exits,2670,13350,694200,24
Concord,BART,avg_weekday_exits,2660,13300,691600,25
Rockridge,BART,avg_weekday_exits,2638,13190,685880,26
Bayfair,BART,avg_weekday_exits,2623,13115,681980,27
Pleasant Hill,BART,avg_weekday_exits,2536,12680,659360,28
Richmond,BART,avg_weekday_exits,2414,12070,627640,29
Hayward,BART,avg_weekday_exits,2294,11470,596440,30
Mountain View,Caltrain,avg_mid_week_ridership_AMWR,2288,11440,594880,31
Pittsburg/Bay Point,BART,avg_weekday_exits,2197,10985,571220,32
San Jose Diridon,Caltrain,avg_mid_week_ridership_AMWR,2136,10680,555360,33
Redwood City,Caltrain,avg_mid_week_ridership_AMWR,2111,10555,548860,34
El Cerrito Plaza,BART,avg_weekday_exits,2074,10370,539240,35
Fremont,BART,avg_weekday_exits,2043,10215,531180,36
Ashby,BART,avg_weekday_exits,1908,9540,496080,37
Union City,BART,avg_weekday_exits,1858,9290,483080,38
Pittsburg Center,BART,avg_weekday_exits,1798,8990,467480,39
Millbrae,BART,avg_weekday_exits,1773,8865,460980,40
Sunnyvale,Caltrain,avg_mid_week_ridership_AMWR,1770,8850,460200,41
North Berkeley,BART,avg_weekday_exits,1740,8700,452400,42
Lafayette,BART,avg_weekday_exits,1641,8205,426660,43
Hillsdale,Caltrain,avg_mid_week_ridership_AMWR,1596,7980,414960,44
Colma,BART,avg_weekday_exits,1528,7640,397280,45
Berryessa / North San Jos,BART,avg_weekday_exits,1490,7450,387400,46
Millbrae,Caltrain,avg_mid_week_ridership_AMWR,1489,7445,387140,47
San Bruno,BART,avg_weekday_exits,1468,7340,381680,48
South Hayward,BART,avg_weekday_exits,1419,7095,368940,49
South San Francisco,BART,avg_weekday_exits,1347,6735,350220,50
West Dublin/Pleasanton,BART,avg_weekday_exits,1280,6400,332800,51
Orinda,BART,avg_weekday_exits,1276,6380,331760,52
San Mateo,Caltrain,avg_mid_week_ridership_AMWR,1270,6350,330200,53
22nd Street,Caltrain,avg_mid_week_ridership_AMWR,1261,6305,327860,54
Milpitas,BART,avg_weekday_exits,1238,6190,321880,55
Castro Valley,BART,avg_weekday_exits,1228,6140,319280,56
Warm Springs,BART,avg_weekday_exits,1163,5815,302380,57
Menlo Park,Caltrain,avg_mid_week_ridership_AMWR,863,4315,224380,58
Santa Clara,Caltrain,avg_mid_week_ridership_AMWR,839,4195,218140,59
California Ave,Caltrain,avg_mid_week_ridership_AMWR,817,4085,212420,60
South San Francisco,Caltrain,avg_mid_week_ridership_AMWR,692,3460,179920,61
Lawrence,Caltrain,avg_mid_week_ridership_AMWR,686,3430,178360,62
San Antonio,Caltrain,avg_mid_week_ridership_AMWR,655,3275,170300,63
Belmont,Caltrain,avg_mid_week_ridership_AMWR,654,3270,170040,64
San Carlos,Caltrain,avg_mid_week_ridership_AMWR,644,3220,167440,65
North Concord,BART,avg_weekday_exits,637,3185,165620,66
Burlingame,Caltrain,avg_mid_week_ridership_AMWR,620,3100,161200,67
Oakland International Airport,BART,avg_weekday_exits,571,2855,148460,68
Antioch,BART,avg_weekday_exits,523,2615,135980,69
San Bruno,Caltrain,avg_mid_week_ridership_AMWR,377,1885,98020,70
Hayward Park,Caltrain,avg_mid_week_ridership_AMWR,366,1830,95160,71
Tamien,Caltrain,avg_mid_week_ridership_AMWR,243,1215,63180,72
Bayshore,Caltrain,avg_mid_week_ridership_AMWR,168,840,43680,73
Morgan Hill,Caltrain,avg_mid_week_ridership_AMWR,130,650,33800,74
Gilroy,Caltrain,avg_mid_week_ridership_AMWR,110,550,28600,75
Broadway,Caltrain,avg_mid_week_ridership_AMWR,91,455,23660,76
Blossom Hill,Caltrain,avg_mid_week_ridership_AMWR,71,355,18460,77
Capitol,Caltrain,avg_mid_week_ridership_AMWR,49,245,12740,78
College Park,Caltrain,avg_mid_week_ridership_AMWR,41,205,10660,79
San Martin,Caltrain,avg_mid_week_ridership_AMWR,25,125,6500,80
